error_count,iterations,trial,noise_seed,blocks,error_model,decoder_iterations,inserted_errors,success,incorrect_codewords,incorrect_bits
0,1,1,1000,1,exact_random,1,0,True,0,0
0,2,1,1000,1,exact_random,2,0,True,0,0
0,3,1,1000,1,exact_random,3,0,True,0,0
0,4,1,1000,1,exact_random,4,0,True,0,0
0,5,1,1000,1,exact_random,5,0,True,0,0
100,1,1,1001,1,exact_random,1,100,True,0,0
100,2,1,1001,1,exact_random,2,100,True,0,0
100,3,1,1001,1,exact_random,3,100,True,0,0
100,4,1,1001,1,exact_random,4,100,True,0,0
100,5,1,1001,1,exact_random,5,100,True,0,0
200,1,1,1002,1,exact_random,1,200,True,0,0
200,2,1,1002,1,exact_random,2,200,True,0,0
200,3,1,1002,1,exact_random,3,200,True,0,0
200,4,1,1002,1,exact_random,4,200,True,0,0
200,5,1,1002,1,exact_random,5,200,True,0,0
300,1,1,1003,1,exact_random,1,300,False,3,3
300,2,1,1003,1,exact_random,2,300,True,0,0
300,3,1,1003,1,exact_random,3,300,True,0,0
300,4,1,1003,1,exact_random,4,300,True,0,0
300,5,1,1003,1,exact_random,5,300,True,0,0
400,1,1,1004,1,exact_random,1,400,False,26,30
400,2,1,1004,1,exact_random,2,400,True,0,0
400,3,1,1004,1,exact_random,3,400,True,0,0
400,4,1,1004,1,exact_random,4,400,True,0,0
400,5,1,1004,1,exact_random,5,400,True,0,0
500,1,1,1005,1,exact_random,1,500,False,76,150
500,2,1,1005,1,exact_random,2,500,False,19,27
500,3,1,1005,1,exact_random,3,500,True,0,0
500,4,1,1005,1,exact_random,4,500,True,0,0
500,5,1,1005,1,exact_random,5,500,True,0,0
750,1,1,1006,1,exact_random,1,750,False,160,494
750,2,1,1006,1,exact_random,2,750,False,124,391
750,3,1,1006,1,exact_random,3,750,False,104,336
750,4,1,1006,1,exact_random,4,750,False,100,320
750,5,1,1006,1,exact_random,5,750,False,99,314
1000,1,1,1007,1,exact_random,1,1000,False,207,970
1000,2,1,1007,1,exact_random,2,1000,False,196,966
1000,3,1,1007,1,exact_random,3,1000,False,196,968
1000,4,1,1007,1,exact_random,4,1000,False,196,968
1000,5,1,1007,1,exact_random,5,1000,False,196,968
