configured_pre_decode_ber,observed_pre_decode_ber,post_decode_ber,iterations,trial,noise_seed,blocks,error_model,decoder_iterations,inserted_errors,success,incorrect_codewords,incorrect_bits
0.0,0.0,0.0,1,1,1000,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,1,1000,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,1,1000,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,1,1000,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,1,1000,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,2,1001,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,2,1001,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,2,1001,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,2,1001,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,2,1001,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,3,1002,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,3,1002,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,3,1002,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,3,1002,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,3,1002,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,4,1003,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,4,1003,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,4,1003,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,4,1003,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,4,1003,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,5,1004,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,5,1004,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,5,1004,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,5,1004,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,5,1004,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,6,1005,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,6,1005,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,6,1005,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,6,1005,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,6,1005,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,7,1006,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,7,1006,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,7,1006,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,7,1006,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,7,1006,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,8,1007,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,8,1007,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,8,1007,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,8,1007,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,8,1007,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,9,1008,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,9,1008,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,9,1008,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,9,1008,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,9,1008,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,10,1009,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,10,1009,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,10,1009,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,10,1009,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,10,1009,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,11,1010,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,11,1010,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,11,1010,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,11,1010,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,11,1010,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,12,1011,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,12,1011,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,12,1011,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,12,1011,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,12,1011,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,13,1012,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,13,1012,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,13,1012,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,13,1012,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,13,1012,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,14,1013,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,14,1013,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,14,1013,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,14,1013,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,14,1013,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,15,1014,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,15,1014,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,15,1014,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,15,1014,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,15,1014,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,16,1015,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,16,1015,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,16,1015,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,16,1015,1,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,16,1015,1,random_probability,5,0,True,0,0
0.0,0.0,0.0,1,17,1016,1,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,17,1016,1,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,17,1016,1,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,17,1016,1,random_probability,4,0,True,0,0
