configured_pre_decode_ber,observed_pre_decode_ber,post_decode_ber,iterations,trial,noise_seed,blocks,error_model,decoder_iterations,inserted_errors,success,incorrect_codewords,incorrect_bits
0.0,0.0,0.0,1,1,1000,5,random_probability,1,0,True,0,0
0.0,0.0,0.0,2,1,1000,5,random_probability,2,0,True,0,0
0.0,0.0,0.0,3,1,1000,5,random_probability,3,0,True,0,0
0.0,0.0,0.0,4,1,1000,5,random_probability,4,0,True,0,0
0.0,0.0,0.0,5,1,1000,5,random_probability,5,0,True,0,0
0.001,0.0009552001953125,0.0,1,1,1000,5,random_probability,1,313,True,0,0
0.001,0.0009552001953125,0.0,2,1,1000,5,random_probability,2,313,True,0,0
0.001,0.0009552001953125,0.0,3,1,1000,5,random_probability,3,313,True,0,0
0.001,0.0009552001953125,0.0,4,1,1000,5,random_probability,4,313,True,0,0
0.001,0.0009552001953125,0.0,5,1,1000,5,random_probability,5,313,True,0,0
0.002,0.0019317626953125,0.0,1,1,1000,5,random_probability,1,633,True,0,0
0.002,0.0019317626953125,0.0,2,1,1000,5,random_probability,2,633,True,0,0
0.002,0.0019317626953125,0.0,3,1,1000,5,random_probability,3,633,True,0,0
0.002,0.0019317626953125,0.0,4,1,1000,5,random_probability,4,633,True,0,0
0.002,0.0019317626953125,0.0,5,1,1000,5,random_probability,5,633,True,0,0
0.003,0.00299072265625,0.0,1,1,1000,5,random_probability,1,980,True,0,0
0.003,0.00299072265625,0.0,2,1,1000,5,random_probability,2,980,True,0,0
0.003,0.00299072265625,0.0,3,1,1000,5,random_probability,3,980,True,0,0
0.003,0.00299072265625,0.0,4,1,1000,5,random_probability,4,980,True,0,0
0.003,0.00299072265625,0.0,5,1,1000,5,random_probability,5,980,True,0,0
0.0035,0.0034332275390625,9.1552734375e-06,1,1,1000,5,random_probability,1,1125,False,3,3
0.0035,0.0034332275390625,0.0,2,1,1000,5,random_probability,2,1125,True,0,0
0.0035,0.0034332275390625,0.0,3,1,1000,5,random_probability,3,1125,True,0,0
0.0035,0.0034332275390625,0.0,4,1,1000,5,random_probability,4,1125,True,0,0
0.0035,0.0034332275390625,0.0,5,1,1000,5,random_probability,5,1125,True,0,0
0.004,0.0039886474609375,1.8310546875e-05,1,1,1000,5,random_probability,1,1307,False,6,6
0.004,0.0039886474609375,0.0,2,1,1000,5,random_probability,2,1307,True,0,0
0.004,0.0039886474609375,0.0,3,1,1000,5,random_probability,3,1307,True,0,0
0.004,0.0039886474609375,0.0,4,1,1000,5,random_probability,4,1307,True,0,0
0.004,0.0039886474609375,0.0,5,1,1000,5,random_probability,5,1307,True,0,0
0.0045,0.004461669921875,9.1552734375e-05,1,1,1000,5,random_probability,1,1462,False,29,30
0.0045,0.004461669921875,0.0,2,1,1000,5,random_probability,2,1462,True,0,0
0.0045,0.004461669921875,0.0,3,1,1000,5,random_probability,3,1462,True,0,0
0.0045,0.004461669921875,0.0,4,1,1000,5,random_probability,4,1462,True,0,0
0.0045,0.004461669921875,0.0,5,1,1000,5,random_probability,5,1462,True,0,0
